Change Type,Postal Code,Building Name,Address,Building Type,Date Processed,Previous Name
New Building,639943,Peng Kang Hill MRT Station (jw5),"57 Nanyang Drive Peng Kang Hill MRT Station (jw5), Singapore 639943",Non-Residential,15/04/2026,
New Building,804137,78 Luxus Hill Heights,"78 Luxus Hill Heights, Singapore 804137",Residential,15/04/2026,
Name Change,729900,2C Mandai Estate,"2C Mandai Estate, Singapore 729900",Residential,15/04/2026,ECOFOOD @ MANDAI
Name Change,80001,1 Cantonment Road,"1 Cantonment Road, Singapore 80001",Residential,15/04/2026,PINNACLE @ DUXTON
Name Change,539788,Bartley MRT Station (cc12),"90 Bartley Road Bartley MRT Station (cc12), Singapore 539788",Non-Residential,15/04/2026,BARTLEY MRT STATION
Name Change,199018,Textile Centre,"200 Jalan Sultan Textile Centre, Singapore 199018",Non-Residential,15/04/2026,HOPE CHURCH SINGAPORE
Name Change,466484,Holy Grace Presbyterian Church,"408B Upper East Coast Road Holy Grace Presbyterian Church, Singapore 466484",Non-Residential,15/04/2026,AMAZING GRACE PRESBYTERIAN CHURCH
Name Change,99951,The Outpost Hotel Sentosa/village Hotel Sentosa,"10 Artillery Avenue The Outpost Hotel Sentosa/village Hotel Sentosa, Singapore 99951",Non-Residential,15/04/2026,THE OUTPOST HOTEL SENTOSA
Name Change,828815,Punggol 21 Community Club,"80 Punggol Field Punggol 21 Community Club, Singapore 828815",Non-Residential,15/04/2026,HDB PUNGGOL BRANCH
Name Change,109681,Defence Technology Tower B,"5 Depot Road Defence Technology Tower B, Singapore 109681",Non-Residential,15/04/2026,CHERIE HEARTS @ DEPOT PTE. LTD.
Name Change,680002,2 Teck Whye Avenue,"2 Teck Whye Avenue, Singapore 680002",Residential,15/04/2026,KOWABUNGA! EDUCATION CENTRE LLP @ TECK WHYE
Name Change,18982,Marina Bay Financial Centre (tower 3),"12 Marina Boulevard Marina Bay Financial Centre (tower 3), Singapore 18982",Non-Residential,15/04/2026,CONSULATE OF THE REPUBLIC OF ICELAND
Name Change,609966,18 Boon Lay Way,"18 Boon Lay Way, Singapore 609966",Residential,15/04/2026,CARE ASSEMBLY OF GOD
Name Change,427990,Parkway East Hospital,"321 Joo Chiat Place Parkway East Hospital, Singapore 427990",Non-Residential,15/04/2026,24-HOUR OUTPATIENT CLINIC (EAST SHORE MEDICAL CENTRE)
Name Change,609961,48 Boon Lay Way,"48 Boon Lay Way, Singapore 609961",Residential,15/04/2026,CHERIE HEARTS @ THE CHEVRONS PTE LTD
