blk_no,street,postal_code,name,lat,lon,change_type,prev_name,prev_lat,prev_lon,location_change_meters,is_non_residential,name_formatted,address_formatted
30,FRANKEL AVENUE,458159,FRANKEL ESTATE,1.31649152130962,103.917615644331,new_building,,,,,False,30 Frankel Avenue,"30 Frankel Avenue, Singapore 458159"
10,CHANGI BUSINESS PARK CENTRAL 2,486030,HANSAPOINT,1.33567124394463,103.966533063663,new_building,,,,,True,Hansapoint,"10 Changi Business Park Central 2 Hansapoint, Singapore 486030"
27,SERANGOON GARDEN WAY,555938,NIL,1.36306279701175,103.870958842621,new_building,,,,,True,Serangoon Garden Way,"27 Serangoon Garden Way, Singapore 555938"
25,GENTING ROAD,349482,AZALEA KITCHENS,1.32825733595607,103.875595756777,name_change,NIL,1.32825733595607,103.875595756777,,False,25 Genting Road,"25 Genting Road, Singapore 349482"
17,SAKRA ROAD,627886,NIL,1.26485446056716,103.704820373564,location_change,NIL,1.26103987283295,103.703700648738,442.0505910969017,False,17 Sakra Road,"17 Sakra Road, Singapore 627886"
1M,YONG SIAK STREET,168641,TIONG BAHRU ESTATE,1.28230406576485,103.830358561481,name_change,NIL,1.28227412452802,103.830320866261,,False,1M Yong Siak Street,"1M Yong Siak Street, Singapore 168641"
200,BEDOK NORTH AVENUE 1,469752,CITY SPROUTS @ BEDOK,1.32744916555918,103.927184430479,name_change,NIL,1.32744916555918,103.927184430479,,False,200 Bedok North Avenue 1,"200 Bedok North Avenue 1, Singapore 469752"
43,SILOSO BEACH WALK,99010,ALTITUDEX,1.25206377583992,103.817560514971,name_change,IFLY SINGAPORE,1.25206377583992,103.817560514971,,False,43 Siloso Beach Walk,"43 Siloso Beach Walk, Singapore 99010"
102,HENDERSON ROAD,159562,CITY SPROUTS @ HENDERSON,1.28448300981416,103.819240593,name_change,ECON CARE RESIDENCE (HENDERSON),1.2850820344864,103.819527090115,,False,102 Henderson Road,"102 Henderson Road, Singapore 159562"
130,RACE COURSE ROAD,218587,RACECOURSE ONE30,1.30971779327858,103.852223982561,name_change,NIL,1.30971779327858,103.852223982561,,False,130 Race Course Road,"130 Race Course Road, Singapore 218587"
2,TEMBUSU DRIVE,627621,NIL,1.26746414180234,103.672515616861,location_change,NIL,1.26501965580378,103.67463592908,359.781152105197,False,2 Tembusu Drive,"2 Tembusu Drive, Singapore 627621"
535,CLEMENTI ROAD,599489,NGEE ANN POLYTECHNIC (BLK 20),1.33488218597994,103.775602827183,name_change,NGEE ANN POLYTECHNIC (BLK 1),1.33351616007246,103.776976659192,,True,Ngee Ann Polytechnic (blk 20),"535 Clementi Road Ngee Ann Polytechnic (blk 20), Singapore 599489"
1,PULAU SEBAROK,118326,NIL,1.20980415832086,103.792634544923,location_change,NIL,1.20465206747341,103.797953699224,823.3297942699597,False,1 Pulau Sebarok,"1 Pulau Sebarok, Singapore 118326"
80,MANDAI LAKE ROAD,729826,NIGHT SAFARI,1.4052369741867,103.788323242853,name_and_location_change,GIANT PANDA FOREST,1.40365248268001,103.792498795944,496.4748645285669,False,80 Mandai Lake Road,"80 Mandai Lake Road, Singapore 729826"
50,JURONG ISLAND HIGHWAY,627877,NIL,1.28176147502858,103.718748794438,location_change,NIL,1.2805727238784,103.715853150469,347.98312654587124,False,50 Jurong Island Highway,"50 Jurong Island Highway, Singapore 627877"
2,SEAH IM ROAD,99114,BING JIN SUGAR CANE JUICE,1.26663184456522,103.819022417901,name_change,NIL,1.26674250106732,103.818958003592,,False,2 Seah Im Road,"2 Seah Im Road, Singapore 99114"
100,JURONG ISLAND HIGHWAY,627867,NIL,1.27776680299102,103.681296002911,location_change,NIL,1.26907088657711,103.69845992241,2139.089828315481,False,100 Jurong Island Highway,"100 Jurong Island Highway, Singapore 627867"
201,CHESTNUT AVENUE,679525,NIL,1.37749613665976,103.777438972627,location_change,NIL,1.37168064590228,103.779806932515,698.1761120048952,False,201 Chestnut Avenue,"201 Chestnut Avenue, Singapore 679525"
50,PUNGGOL EAST,828826,CITY SPROUTS @ PUNGGOL,1.39466481255762,103.916758955451,name_change,NIL,1.39466481255762,103.916758955451,,False,50 Punggol East,"50 Punggol East, Singapore 828826"
18,PIONEER ROAD,628498,NIL,1.31196599484918,103.686973622172,location_change,NIL,1.30776649760434,103.687179207763,467.5217164920828,False,18 Pioneer Road,"18 Pioneer Road, Singapore 628498"
