blk_no,street,postal_code,name,lat,lon,change_type,prev_name,prev_lat,prev_lon,is_non_residential,name_formatted,address_formatted
57,NANYANG DRIVE,639943,PENG KANG HILL MRT STATION (JW5),1.3432054923337,103.678564298892,new_building,,,,True,Peng Kang Hill MRT Station (jw5),"57 Nanyang Drive Peng Kang Hill MRT Station (jw5), Singapore 639943"
78,LUXUS HILL HEIGHTS,804137,LUXUS HILLS,1.38185097645249,103.874074668515,new_building,,,,False,78 Luxus Hill Heights,"78 Luxus Hill Heights, Singapore 804137"
2C,MANDAI ESTATE,729900,KEYSTONE @ MANDAI,1.40554577227264,103.75688618286,name_change,ECOFOOD @ MANDAI,1.40554577227264,103.75688618286,False,2C Mandai Estate,"2C Mandai Estate, Singapore 729900"
1,CANTONMENT ROAD,80001,THE PINNACLE@DUXTON,1.27703474409457,103.841261034891,name_change,PINNACLE @ DUXTON,1.27548808568155,103.841419048957,False,1 Cantonment Road,"1 Cantonment Road, Singapore 80001"
90,BARTLEY ROAD,539788,BARTLEY MRT STATION (CC12),1.34250117805245,103.880177899184,name_change,BARTLEY MRT STATION,1.3424454382925,103.880197087117,True,Bartley MRT Station (cc12),"90 Bartley Road Bartley MRT Station (cc12), Singapore 539788"
200,JALAN SULTAN,199018,TEXTILE CENTRE,1.30393835645617,103.861630792094,name_change,HOPE CHURCH SINGAPORE,1.30397881313463,103.861554245252,True,Textile Centre,"200 Jalan Sultan Textile Centre, Singapore 199018"
408B,UPPER EAST COAST ROAD,466484,HOLY GRACE PRESBYTERIAN CHURCH,1.31411267894182,103.939491391278,name_change,AMAZING GRACE PRESBYTERIAN CHURCH,1.31408913997512,103.93948239153,True,Holy Grace Presbyterian Church,"408B Upper East Coast Road Holy Grace Presbyterian Church, Singapore 466484"
10,ARTILLERY AVENUE,99951,THE OUTPOST HOTEL SENTOSA/VILLAGE HOTEL SENTOSA,1.25225950669093,103.819943382535,name_change,THE OUTPOST HOTEL SENTOSA,1.25228000756389,103.820032124536,True,The Outpost Hotel Sentosa/village Hotel Sentosa,"10 Artillery Avenue The Outpost Hotel Sentosa/village Hotel Sentosa, Singapore 99951"
80,PUNGGOL FIELD,828815,PUNGGOL 21 COMMUNITY CLUB,1.39351971529878,103.913582341491,name_change,HDB PUNGGOL BRANCH,1.39344316509752,103.913664589928,True,Punggol 21 Community Club,"80 Punggol Field Punggol 21 Community Club, Singapore 828815"
5,DEPOT ROAD,109681,DEFENCE TECHNOLOGY TOWER B,1.28025251454184,103.814108894739,name_change,CHERIE HEARTS @ DEPOT PTE. LTD.,1.28025103903788,103.814061677608,True,Defence Technology Tower B,"5 Depot Road Defence Technology Tower B, Singapore 109681"
2,TECK WHYE AVENUE,680002,TECK WHYE HEIGHTS I,1.38193350023798,103.75183468578,name_change,KOWABUNGA! EDUCATION CENTRE LLP @ TECK WHYE,1.38194642527068,103.751888178683,False,2 Teck Whye Avenue,"2 Teck Whye Avenue, Singapore 680002"
12,MARINA BOULEVARD,18982,MARINA BAY FINANCIAL CENTRE (TOWER 3),1.27912493489912,103.854457600432,name_change,CONSULATE OF THE REPUBLIC OF ICELAND,1.27910567828192,103.854297424273,True,Marina Bay Financial Centre (tower 3),"12 Marina Boulevard Marina Bay Financial Centre (tower 3), Singapore 18982"
18,BOON LAY WAY,609966,TRADEHUB 21,1.32857195319144,103.752715635001,name_change,CARE ASSEMBLY OF GOD,1.32852674067117,103.752854514418,False,18 Boon Lay Way,"18 Boon Lay Way, Singapore 609966"
321,JOO CHIAT PLACE,427990,PARKWAY EAST HOSPITAL,1.31508823271314,103.908756858682,name_change,24-HOUR OUTPATIENT CLINIC (EAST SHORE MEDICAL CENTRE),1.31506868762293,103.908991427057,True,Parkway East Hospital,"321 Joo Chiat Place Parkway East Hospital, Singapore 427990"
48,BOON LAY WAY,609961,THE CHEVRONS,1.3308622233113,103.7486227193,name_change,CHERIE HEARTS @ THE CHEVRONS PTE LTD,1.33102122066659,103.748331228993,False,48 Boon Lay Way,"48 Boon Lay Way, Singapore 609961"
