blk_no,street,postal_code,name,lat,lon,change_type,prev_name,prev_lat,prev_lon,location_change_meters
2,CLEMENTI CLOSE,129634,CLEMENTI POLYCLINIC (U/C),1.31703025735992,103.763480642855,new_building,,,,
21A,PASIR RIS STREET 21,519660,TEMPORARY SITE OFFICE,1.36596007766651,103.964884875608,new_building,,,,
1A,TUAS SOUTH EDGE,638626,SITE OFFICE,1.26109098006187,103.623066692881,new_building,,,,
1,WOODLANDS STREET 31,738581,FUCHUN COMMUNITY CLUB (U/C),1.42958660649594,103.774850125046,name_change,FUCHUN COMMUNITY CLUB (PENDING U/C),1.42958660649594,103.774850125046,
180,BEDOK RESERVOIR ROAD,479220,EUNOS COMMUNITY CLUB (U/C),1.33262678312198,103.915230025095,name_change,EUNOS COMMUNITY CLUB (PENDING U/C),1.33262678312198,103.915230025095,
50,ANG MO KIO STREET 61,569163,YIO CHU KANG COMMUNITY CLUB (U/C),1.38132578567055,103.841450468671,name_change,YIO CHU KANG COMMUNITY CLUB (PENDING U/C),1.38132578567055,103.841450468671,
1,WOODLANDS STREET 81,738526,WOODLANDS COMMUNITY CLUB (U/C),1.43981512387409,103.788244210049,name_change,WOODLANDS COMMUNITY CLUB (PENDING U/C),1.43981512387409,103.788244210049,
194,UPPER THOMSON ROAD,574339,THOMSON COMMUNITY CLUB (U/C),1.35119677758172,103.8363104366,name_change,THOMSON COMMUNITY CLUB,1.35119677758172,103.8363104366,
6,ANG MO KIO STREET 53,569205,CHENG SAN COMMUNITY CLUB (U/C),1.37191523463477,103.849375024665,name_change,CHENG SAN COMMUNITY CLUB (PENDING U/C),1.37178045438826,103.849569974207,
5,LENGKONG TIGA,417408,KAMPONG KEMBANGAN COMMUNITY CLUB (U/C),1.32315520137795,103.912698649271,name_change,KAMPONG KEMBANGAN COMMUNITY CLUB,1.32315520137795,103.912698649271,
