blk_no,street,postal_code,name,lat,lon,change_type,prev_name,prev_lat,prev_lon,location_change_meters
20,RAFFLES AVENUE,39805,NS SQUARE,1.28866180924693,103.858941046991,new_building,,,,
5,DOVER LANE,139685,UNITED MEDICARE RESIDENCE (DOVER),1.31019042813507,103.77249758026,new_building,,,,
132,BUKIT MERAH VIEW,150132,NIL,1.28556728658591,103.824066457707,new_building,,,,
138,ALEXANDRA ROAD,150138,ALEXANDRA PEAKS,1.29141613670848,103.819638088536,new_building,,,,
144,REDHILL CLOSE,150144,REDHILL PEAKS,1.28508341619995,103.817148639415,new_building,,,,
145,REDHILL CLOSE,150145,REDHILL PEAKS,1.28462348818001,103.8170793221,new_building,,,,
138A,ALEXANDRA ROAD,151138,ALEXANDRA PEAKS,1.29179973901251,103.819189834643,new_building,,,,
144A,REDHILL CLOSE,151144,REDHILL PEAKS,1.28553902415995,103.817610269024,new_building,,,,
145A,REDHILL CLOSE,151145,REDHILL PEAKS,1.28509913671953,103.816771783189,new_building,,,,
138B,ALEXANDRA ROAD,152138,ALEXANDRA PEAKS,1.29183800364738,103.819695828351,new_building,,,,
144B,REDHILL CLOSE,152144,REDHILL PEAKS,1.28495357587636,103.817452632353,new_building,,,,
21A,MACALISTER ROAD,169738,NIL,1.27914243302111,103.832428290512,new_building,,,,
5,RIVER VALLEY GREEN,239638,RIVER MODERN (U/C),1.29319093861689,103.834791739507,new_building,,,,
7,RIVER VALLEY GREEN,239641,RIVER MODERN (U/C),1.29319093861689,103.834791739507,new_building,,,,
9,RIVER VALLEY GREEN,239642,RIVER MODERN (U/C),1.29319093861689,103.834791739507,new_building,,,,
108,DALVEY ESTATE,259529,DALVEY VILLAS,1.31653115278417,103.821564766472,new_building,,,,
9,BALMORAL CRESCENT,259902,NIL,1.31588568290054,103.834884193534,new_building,,,,
11,BALMORAL CRESCENT,259973,NIL,1.31592677921879,103.834934007894,new_building,,,,
13,BALMORAL CRESCENT,259974,NIL,1.31597061696877,103.834988101755,new_building,,,,
25A,NAMLY RISE,268034,SHAMROCK PARK,1.32616172909848,103.794921774517,new_building,,,,
19A,MOUNT SINAI LANE,277828,HENRY PARK,1.31593605284127,103.785506587401,new_building,,,,
147A,HOLLAND ROAD,279217,CHIP BEE GARDENS,1.31263765630535,103.797635022004,new_building,,,,
64,KHEAM HOCK ROAD,299511,DUNEARN ESTATE,1.32998422545252,103.81997584212,new_building,,,,
18B,BERRIMA ROAD,299989,DUNEARN ESTATE,1.32452094029976,103.824387745013,new_building,,,,
1,KALLANG WAY,349532,BLOCK A,1.3233152739687,103.88096858791,new_building,,,,
1,KALLANG WAY,349532,BLOCK B,1.32284285625557,103.879631367063,new_building,,,,
31,BELIMBING AVENUE,349903,SENNETT ESTATE,1.33238545885591,103.875582804859,new_building,,,,
11,LYNWOOD GROVE,358656,BRADDELL HEIGHTS ESTATE,1.34702659999127,103.86263850527,new_building,,,,
10A,CLIFTON VALE,359975,BRADDELL HEIGHTS ESTATE,1.34598023576962,103.864128738382,new_building,,,,
2,MOUNT VERNON LANE,369572,MOUNT VERNON FUNERAL PARLOUR COMPLEX,1.33894741462754,103.876184939023,new_building,,,,
52A,ALJUNIED ROAD,389961,NIL,1.31582628861738,103.882036111073,new_building,,,,
31B,TANJONG RHU CLOSE,432031,TANJONG RHU PARC FRONT,1.29706799149809,103.878941429682,new_building,,,,
7,MEYER PLACE,438581,NIL,1.29909063661798,103.886364991621,new_building,,,,
9,MEYER PLACE,438582,NIL,1.29915109428673,103.886368258712,new_building,,,,
11,MEYER PLACE,438583,NIL,1.29921648646827,103.886374825734,new_building,,,,
1,MARINE DRIVE,449984,MARINE PARADE COMMUNITY BUILDING,1.30489258363442,103.909693219335,new_building,,,,
1,MARINE DRIVE,449984,MARINE PARADE COMMUNITY CLUB (U/C),1.30482859874228,103.909545272398,new_building,,,,
1,MARINE DRIVE,449984,MARINE PARADE PUBLIC LIBRARY,1.30488701279409,103.909598037489,new_building,,,,
38A,THIRD STREET,456537,EAST COAST PARK,1.31327944575804,103.924643988981,new_building,,,,
30,FRANKEL AVENUE,458159,FRANKEL ESTATE,1.31649152130962,103.917615644331,new_building,,,,
23,ELLIOT WALK,458685,NIL,1.31082590918468,103.931668906716,new_building,,,,
39A,AIDA STREET,459918,OPERA ESTATE,1.3197428215269,103.927292075248,new_building,,,,
