Postal Code,Building Name,Full Address,Non-Residential,Date Added
19964,59 Marina Coastal Drive,"59 Marina Coastal Drive, Singapore 19964",False,15/10/2025
48458,Amoy Hotel,"70 Telok Ayer Street Amoy Hotel, Singapore 48458",True,15/10/2025
120437,437 Clementi Close,"437 Clementi Close, Singapore 120437",False,15/10/2025
120438,438 Clementi Close,"438 Clementi Close, Singapore 120438",False,15/10/2025
121437,437A Clementi Close,"437A Clementi Close, Singapore 121437",False,15/10/2025
121438,438A Clementi Close,"438A Clementi Close, Singapore 121438",False,15/10/2025
122437,437B Clementi Close,"437B Clementi Close, Singapore 122437",False,15/10/2025
122438,438B Clementi Close,"438B Clementi Close, Singapore 122438",False,15/10/2025
129634,Clementi Polyclinic,"2 Clementi Close Clementi Polyclinic, Singapore 129634",True,15/10/2025
140185,185 Mei Chin Road,"185 Mei Chin Road, Singapore 140185",False,15/10/2025
140186,186 Mei Chin Road,"186 Mei Chin Road, Singapore 140186",False,15/10/2025
140187,187 Mei Chin Road,"187 Mei Chin Road, Singapore 140187",False,15/10/2025
140189,189 Mei Chin Road,"189 Mei Chin Road, Singapore 140189",False,15/10/2025
140190,190 Mei Chin Road,"190 Mei Chin Road, Singapore 140190",False,15/10/2025
141186,186A Mei Chin Road,"186A Mei Chin Road, Singapore 141186",False,15/10/2025
141187,187A Mei Chin Road,"187A Mei Chin Road, Singapore 141187",False,15/10/2025
142186,186B Mei Chin Road,"186B Mei Chin Road, Singapore 142186",False,15/10/2025
169556,7 Kim Seng Road,"7 Kim Seng Road, Singapore 169556",False,15/10/2025
188544,65 Queen Street,"65 Queen Street, Singapore 188544",False,15/10/2025
188545,66 Queen Street,"66 Queen Street, Singapore 188545",False,15/10/2025
188546,67 Queen Street,"67 Queen Street, Singapore 188546",False,15/10/2025
190020,20 Crawford Street,"20 Crawford Street, Singapore 190020",False,15/10/2025
190021,21 Crawford Street,"21 Crawford Street, Singapore 190021",False,15/10/2025
191020,20A Crawford Street,"20A Crawford Street, Singapore 191020",False,15/10/2025
218210,598 Serangoon Road,"598 Serangoon Road, Singapore 218210",False,15/10/2025
219833,100A Norfolk Road,"100A Norfolk Road, Singapore 219833",False,15/10/2025
239595,17 Unity Street,"17 Unity Street, Singapore 239595",False,15/10/2025
247811,1 Zion Close,"1 Zion Close, Singapore 247811",False,15/10/2025
259131,Ladyhill Park,"90 Fernhill Road Ladyhill Park, Singapore 259131",True,15/10/2025
270067,67 Holland Village Way,"67 Holland Village Way, Singapore 270067",False,15/10/2025
270068,68 Holland Village Way,"68 Holland Village Way, Singapore 270068",False,15/10/2025
271068,68A Holland Village Way,"68A Holland Village Way, Singapore 271068",False,15/10/2025
278529,Eden Park,"23A Maple Avenue Eden Park, Singapore 278529",True,15/10/2025
279216,Ban Guan Park,"444 Holland Road Ban Guan Park, Singapore 279216",True,15/10/2025
299061,Capitol Park (15),"15 Jalan Sejarah Capitol Park (15), Singapore 299061",True,15/10/2025
299165,60A Kheam Hock Road,"60A Kheam Hock Road, Singapore 299165",False,15/10/2025
309297,2A Jalan Pasiran,"2A Jalan Pasiran, Singapore 309297",False,15/10/2025
309313,4 Jalan Pasir Ria,"4 Jalan Pasir Ria, Singapore 309313",False,15/10/2025
309314,4A Jalan Pasir Ria,"4A Jalan Pasir Ria, Singapore 309314",False,15/10/2025
309651,10 Chancery Hill Road,"10 Chancery Hill Road, Singapore 309651",False,15/10/2025
309652,10A Chancery Hill Road,"10A Chancery Hill Road, Singapore 309652",False,15/10/2025
309738,16 Dyson Road,"16 Dyson Road, Singapore 309738",False,15/10/2025
309831,8A Chancery Hill Road,"8A Chancery Hill Road, Singapore 309831",False,15/10/2025
338779,231 Lavender Street,"231 Lavender Street, Singapore 338779",False,15/10/2025
338780,233 Lavender Street,"233 Lavender Street, Singapore 338780",False,15/10/2025
338781,235 Lavender Street,"235 Lavender Street, Singapore 338781",False,15/10/2025
359564,3A Melrose Drive,"3A Melrose Drive, Singapore 359564",False,15/10/2025
359575,3B Melrose Drive,"3B Melrose Drive, Singapore 359575",False,15/10/2025
367858,Bidadari Park Carpark,"115 Upper Aljunied Road Bidadari Park Carpark, Singapore 367858",True,15/10/2025
370135,135 Merpati Road,"135 Merpati Road, Singapore 370135",False,15/10/2025
370136,136 Merpati Road,"136 Merpati Road, Singapore 370136",False,15/10/2025
371135,135A Merpati Road,"135A Merpati Road, Singapore 371135",False,15/10/2025
371136,136A Merpati Road,"136A Merpati Road, Singapore 371136",False,15/10/2025
419383,Kimnan Park,"68A Jalan Selamat Kimnan Park, Singapore 419383",True,15/10/2025
426739,72 Langsat Road,"72 Langsat Road, Singapore 426739",False,15/10/2025
438584,92 Meyer Road,"92 Meyer Road, Singapore 438584",False,15/10/2025
438585,10 Founders Drive,"10 Founders Drive, Singapore 438585",False,15/10/2025
438661,13 Jalan Nuri,"13 Jalan Nuri, Singapore 438661",False,15/10/2025
438662,47 Meyer Road,"47 Meyer Road, Singapore 438662",False,15/10/2025
449972,101A Marine Parade Road,"101A Marine Parade Road, Singapore 449972",False,15/10/2025
456285,33B Woo Mon Chew Road,"33B Woo Mon Chew Road, Singapore 456285",False,15/10/2025
456341,133A Upper East Coast Road,"133A Upper East Coast Road, Singapore 456341",False,15/10/2025
456827,Marine Garden,"26C Siglap Road Marine Garden, Singapore 456827",True,15/10/2025
460911,911 Bayshore Street,"911 Bayshore Street, Singapore 460911",False,15/10/2025
460912,912 Bayshore Street,"912 Bayshore Street, Singapore 460912",False,15/10/2025
460913,913 Bayshore Street,"913 Bayshore Street, Singapore 460913",False,15/10/2025
460914,914 Bayshore Street,"914 Bayshore Street, Singapore 460914",False,15/10/2025
460915,915 Bayshore Street,"915 Bayshore Street, Singapore 460915",False,15/10/2025
460916,916 Bayshore Street,"916 Bayshore Street, Singapore 460916",False,15/10/2025
461911,911A Bayshore Street,"911A Bayshore Street, Singapore 461911",False,15/10/2025
461912,912A Bayshore Street,"912A Bayshore Street, Singapore 461912",False,15/10/2025
461914,914A Bayshore Street,"914A Bayshore Street, Singapore 461914",False,15/10/2025
461915,915A Bayshore Street,"915A Bayshore Street, Singapore 461915",False,15/10/2025
461916,916A Bayshore Street,"916A Bayshore Street, Singapore 461916",False,15/10/2025
462911,911B Bayshore Street,"911B Bayshore Street, Singapore 462911",False,15/10/2025
462912,912B Bayshore Street,"912B Bayshore Street, Singapore 462912",False,15/10/2025
462915,915B Bayshore Street,"915B Bayshore Street, Singapore 462915",False,15/10/2025
462916,916B Bayshore Street,"916B Bayshore Street, Singapore 462916",False,15/10/2025
463911,911C Bayshore Street,"911C Bayshore Street, Singapore 463911",False,15/10/2025
463912,912C Bayshore Street,"912C Bayshore Street, Singapore 463912",False,15/10/2025
468466,109 Tanah Merah Kechil Road South,"109 Tanah Merah Kechil Road South, Singapore 468466",False,15/10/2025
468467,111 Tanah Merah Kechil Road South,"111 Tanah Merah Kechil Road South, Singapore 468467",False,15/10/2025
468468,113 Tanah Merah Kechil Road South,"113 Tanah Merah Kechil Road South, Singapore 468468",False,15/10/2025
488904,East View Garden,"58A Meragi Road East View Garden, Singapore 488904",True,15/10/2025
489719,Changi Business Park Central 2,"89A Changi Business Park Central 2, Singapore 489719",True,15/10/2025
508806,32 Jalan Loyang Besar,"32 Jalan Loyang Besar, Singapore 508806",False,15/10/2025
508826,22 Jalan Loyang Besar,"22 Jalan Loyang Besar, Singapore 508826",False,15/10/2025
508827,24 Jalan Loyang Besar,"24 Jalan Loyang Besar, Singapore 508827",False,15/10/2025
508828,26 Jalan Loyang Besar,"26 Jalan Loyang Besar, Singapore 508828",False,15/10/2025
508829,28 Jalan Loyang Besar,"28 Jalan Loyang Besar, Singapore 508829",False,15/10/2025
508830,30 Jalan Loyang Besar,"30 Jalan Loyang Besar, Singapore 508830",False,15/10/2025
508831,12 Jalan Loyang Besar,"12 Jalan Loyang Besar, Singapore 508831",False,15/10/2025
508832,14 Jalan Loyang Besar,"14 Jalan Loyang Besar, Singapore 508832",False,15/10/2025
508833,16 Jalan Loyang Besar,"16 Jalan Loyang Besar, Singapore 508833",False,15/10/2025
508834,18 Jalan Loyang Besar,"18 Jalan Loyang Besar, Singapore 508834",False,15/10/2025
508835,20 Jalan Loyang Besar,"20 Jalan Loyang Besar, Singapore 508835",False,15/10/2025
508855,2 Jalan Loyang Besar,"2 Jalan Loyang Besar, Singapore 508855",False,15/10/2025
508856,4 Jalan Loyang Besar,"4 Jalan Loyang Besar, Singapore 508856",False,15/10/2025
508857,6 Jalan Loyang Besar,"6 Jalan Loyang Besar, Singapore 508857",False,15/10/2025
508858,8 Jalan Loyang Besar,"8 Jalan Loyang Besar, Singapore 508858",False,15/10/2025
508859,10 Jalan Loyang Besar,"10 Jalan Loyang Besar, Singapore 508859",False,15/10/2025
509970,Sree Ramar Temple,"49 Changi Village Road Sree Ramar Temple, Singapore 509970",True,15/10/2025
510591,591 Pasir Ris Green,"591 Pasir Ris Green, Singapore 510591",False,15/10/2025
510592,592 Pasir Ris Green,"592 Pasir Ris Green, Singapore 510592",False,15/10/2025
510593,593 Pasir Ris Drive 3,"593 Pasir Ris Drive 3, Singapore 510593",False,15/10/2025
510594,594 Pasir Ris Drive 3,"594 Pasir Ris Drive 3, Singapore 510594",False,15/10/2025
511591,591A Pasir Ris Green,"591A Pasir Ris Green, Singapore 511591",False,15/10/2025
511592,592A Pasir Ris Green,"592A Pasir Ris Green, Singapore 511592",False,15/10/2025
511593,593A Pasir Ris Drive 3,"593A Pasir Ris Drive 3, Singapore 511593",False,15/10/2025
511594,594A Pasir Ris Drive 3,"594A Pasir Ris Drive 3, Singapore 511594",False,15/10/2025
512591,591B Pasir Ris Green,"591B Pasir Ris Green, Singapore 512591",False,15/10/2025
