blk_no,street,postal_code,name,lat,lon
25,PARK STREET,018929,NIL,1.27371430062259,103.856297710066
25,PARK STREET,018929,MARINA BAY MRT STATION (TE20),1.27474173226842,103.855309167928
12,MARINA BOULEVARD,018982,MARINA BAY FINANCIAL CENTRE (TOWER 3),1.27912493489912,103.854457600432
201,MARINA EAST DRIVE,029997,NIL,1.28354890398166,103.877909588821
22,MALACCA STREET,048980,RB CAPITAL BUILDING,1.28394905767082,103.850862398855
42,CIRCULAR ROAD,049398,BOAT QUAY CONSERVATION AREA,1.28630865460691,103.84932307704
42A,CIRCULAR ROAD,049398,BOAT QUAY CONSERVATION AREA,1.28630865515437,103.84932307704
42B,CIRCULAR ROAD,049398,BOAT QUAY CONSERVATION AREA,1.28630865515437,103.84932307704
25,SMITH STREET,058939,NIL,1.28212419068046,103.844215671736
26A,SMITH STREET,058940,KRETA AYER CONSERVATION AREA,1.28233974838384,103.844391365537
26B,SMITH STREET,058940,KRETA AYER CONSERVATION AREA,1.28233974838384,103.844391365537
26,SMITH STREET,058940,KRETA AYER CONSERVATION AREA,1.28233974838384,103.844391365809
32,NORTH CANAL ROAD,059288,NIL,1.28696780968855,103.847338442716
32A,NORTH CANAL ROAD,059288,NIL,1.28696780941482,103.847338442716
32B,NORTH CANAL ROAD,059288,NIL,1.28696780941482,103.847338442716
32C,NORTH CANAL ROAD,059288,NIL,1.28696780941482,103.847338442716
94,AMOY STREET,069914,TELOK AYER CONSERVATION AREA,1.28135297508697,103.84707954128
94A,AMOY STREET,069914,TELOK AYER CONSERVATION AREA,1.28135297453951,103.84707954128
112,AMOY STREET,069932,TELOK AYER CONSERVATION AREA,1.28212806985927,103.847526481136
52B,TRAS STREET,078991,TANJONG PAGAR CONSERVATION AREA,1.27806662146702,103.844188574393
52,TRAS STREET,078991,TANJONG PAGAR CONSERVATION AREA,1.27806662119329,103.844188574121
52A,TRAS STREET,078991,TANJONG PAGAR CONSERVATION AREA,1.27806662146702,103.844188574393
59,TRAS STREET,078998,TANJONG PAGAR CONSERVATION AREA,1.27785042770941,103.844495485451
59A,TRAS STREET,078998,TANJONG PAGAR CONSERVATION AREA,1.27785042798314,103.844495484907
1,CANTONMENT ROAD,080001,THE PINNACLE@DUXTON,1.27703474409457,103.841261034891
1,EVERTON PARK,081001,EVERTON PARK,1.27742654288695,103.840001188095
2,EVERTON PARK,081002,EVERTON PARK,1.27741630337522,103.839330846341
3,TANJONG PAGAR PLAZA,081003,NIL,1.2756191858993,103.842431306625
4,TANJONG PAGAR PLAZA,081004,NIL,1.27590520131404,103.842741240941
38,TANJONG PAGAR ROAD,088461,NIL,1.27953422262015,103.843700472394
27,KRETA AYER ROAD,088994,NIL,1.28056810121689,103.842206919376
27A,KRETA AYER ROAD,088994,NIL,1.28056810149063,103.842206919104
27B,KRETA AYER ROAD,088994,NIL,1.28056810149063,103.842206919104
